review_text,sentiment,review_length,word_count,rating,helpfulness_score,verified_purchase,date
This device is great in several situations:1.),1,46,7,4,39.041336224924265,1,2023-01-03 21:00:00
Mic Doesn't work.,0,17,3,4,52.428281405287535,1,2023-01-03 22:00:00
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,102,20,3,45.081611702774374,0,2023-01-03 23:00:00
Great choice!,1,13,2,5,36.96638085440452,0,2023-01-04 00:00:00
Nice docking station for home or work.,1,38,7,5,56.987237198237054,0,2023-01-04 01:00:00
This is a beautiful phone.,1,26,5,5,41.516736641196346,0,2023-01-04 02:00:00
Love this product.,1,18,3,5,46.30658583341966,0,2023-01-04 03:00:00
Do Not Buy for D807...wrongly advertised for D807.,0,50,8,3,57.19416332893641,1,2023-01-04 04:00:00
This is a great little item.,1,28,6,5,48.72713987741976,0,2023-01-04 05:00:00
"I love this phone , It is very handy and has a lot of features .",1,64,16,5,33.50694122125092,0,2023-01-04 06:00:00
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,68,12,3,58.19496370840425,0,2023-01-04 07:00:00
I wear it everyday and it holds up very well.,1,45,10,5,48.83124159214253,0,2023-01-04 08:00:00
Not a good bargain.,0,19,4,2,40.047168439712586,0,2023-01-04 09:00:00
"Well packaged, arrived on time, and works as intended.",1,54,9,5,34.17816217990162,1,2023-01-04 10:00:00
The battery runs down quickly.,0,30,5,2,53.82075567810888,1,2023-01-04 11:00:00
"This item worked great, but it broke after 6 months of use.",0,59,12,2,48.60218267785541,1,2023-01-04 12:00:00
The headsets are easy to use and everyone loves them.,1,53,10,5,46.00383275928965,0,2023-01-04 13:00:00
This phone works great.,1,23,4,5,56.816777491528725,0,2023-01-04 14:00:00
The construction of the headsets is poor.,0,41,7,2,53.65791633673592,0,2023-01-04 15:00:00
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,83,15,5,34.55024639198253,0,2023-01-04 16:00:00
The phone loads super!,1,22,4,4,39.35166203386645,1,2023-01-04 17:00:00
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,125,26,2,37.45467419443397,0,2023-01-04 18:00:00
Made very sturdy.,1,17,3,4,52.31838877718031,0,2023-01-04 19:00:00
Worked great!.,1,14,2,4,31.005973042073382,0,2023-01-04 20:00:00
The ear buds only play music in one ear.,0,40,9,4,47.0966905461395,0,2023-01-04 21:00:00
Dont waste your money...,0,24,4,2,52.87376057222072,1,2023-01-04 22:00:00
Will order from them again!,1,27,5,4,56.30296910285249,0,2023-01-04 23:00:00
If you plan to use this in a car forget about it.,0,49,12,2,40.262452461477224,0,2023-01-05 00:00:00
I found this product to be waaay too big.,0,41,9,4,54.637719140160385,0,2023-01-05 01:00:00
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,148,30,4,33.31895210865622,0,2023-01-05 02:00:00
I'm very disappointed with my decision.,0,39,6,2,55.39356875203555,1,2023-01-05 03:00:00
Integrated seamlessly with the Motorola RAZR phone.,1,51,7,5,33.824659869959476,1,2023-01-05 04:00:00
"Buyer Beware, you could flush money right down the toilet.",0,58,10,4,41.91861871681102,1,2023-01-05 05:00:00
Definitely a bargain.,1,21,3,5,53.91886097338661,1,2023-01-05 06:00:00
The price was very good and with the free shipping and all it was a good purchase.,1,82,17,4,34.49752282046322,0,2023-01-05 07:00:00
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,113,20,4,36.87754185697924,1,2023-01-05 08:00:00
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,93,17,5,51.66757705179199,0,2023-01-05 09:00:00
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,95,18,2,51.601096096382236,0,2023-01-05 10:00:00
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,130,24,5,49.23442898655892,1,2023-01-05 11:00:00
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,146,22,2,50.818453334013,0,2023-01-05 12:00:00
I purcashed this for the car charger and it does not work.,0,58,12,3,46.28173330042789,1,2023-01-05 13:00:00
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,115,25,5,37.55397176720858,0,2023-01-05 14:00:00
This phone is slim and light and the display is beautiful.,1,58,11,5,40.37087980511758,1,2023-01-05 15:00:00
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,143,28,4,35.44793150404277,1,2023-01-05 16:00:00
"Great product, fast shipping!.",1,30,4,5,57.25351684000885,1,2023-01-05 17:00:00
Absolutely great.,1,17,2,4,47.50175384298362,1,2023-01-05 18:00:00
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,95,17,5,42.0255425029092,1,2023-01-05 19:00:00
i got this phone around the end of may and i'm completely unhappy with it.,0,74,15,2,43.86017410932398,0,2023-01-05 20:00:00
It is very comfortable on the ear.,1,34,7,5,58.41850018835446,0,2023-01-05 21:00:00
It has been a winner for us.,1,28,7,5,34.6005420934824,0,2023-01-05 22:00:00
)Setup couldn't have been simpler.,1,34,5,5,47.58689496050391,1,2023-01-05 23:00:00
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,133,24,4,45.17666036653398,0,2023-01-06 00:00:00
Could not get strong enough signal.,0,35,6,4,48.343627063039435,1,2023-01-06 01:00:00
Iam very pleased with my purchase.,1,34,6,5,30.543305514625214,0,2023-01-06 02:00:00
Bad Quality.,0,12,2,4,56.16371726832455,0,2023-01-06 03:00:00
Gets the job done.,1,18,4,5,57.96354847450837,1,2023-01-06 04:00:00
Great audio!.,1,13,2,4,46.95399550767627,0,2023-01-06 05:00:00
Basically the service was very bad.,0,35,6,4,50.89952471630677,0,2023-01-06 06:00:00
it did not work in my cell phone plug i am very up set with the charger!.,0,73,17,2,57.67498143531887,0,2023-01-06 07:00:00
"I've only had my bluetooth for a few weeks, but I really like it.",1,65,14,5,51.217159029401955,1,2023-01-06 08:00:00
The BT headset was such a disapoinment.,0,39,7,3,34.57617128742784,1,2023-01-06 09:00:00
It is so small and you don't even realize that it is there after a while of getting used to it.,1,95,21,5,47.288650805004394,0,2023-01-06 10:00:00
The accompanied software is almost brilliant.,1,45,6,4,48.201451391485676,0,2023-01-06 11:00:00
Headset works great & was packaged nicely to avoid any damage.,1,62,11,4,42.72392013907158,0,2023-01-06 12:00:00
!I definitly recommend!!,1,24,3,5,52.09332706874169,1,2023-01-06 13:00:00
Buyer--Be Very Careful!!!!!.,0,28,3,4,58.03101044307044,1,2023-01-06 14:00:00
The majority of the Logitech earbud headsets failed.,0,52,8,4,57.767055387203285,0,2023-01-06 15:00:00
Very good stuff for the price.,1,30,6,5,43.52518114212396,0,2023-01-06 16:00:00
My headset works just peachy-keen.,1,34,5,5,33.39714137522266,0,2023-01-06 17:00:00
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,83,15,4,59.54523596887004,1,2023-01-06 18:00:00
Voice recognition is tremendous!,1,32,4,4,55.166942593378025,1,2023-01-06 19:00:00
What a waste.,0,13,3,4,33.739880436098005,0,2023-01-06 20:00:00
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,101,20,4,57.625256478521166,0,2023-01-06 21:00:00
I was not happy with this item.,0,31,7,3,56.09689086186385,0,2023-01-06 22:00:00
very disappointed.,0,18,2,3,45.56514171378216,1,2023-01-06 23:00:00
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,62,12,2,47.73826307234788,0,2023-01-07 00:00:00
I got this phone on reccomendation from a relative and I'm glad I did.,1,70,14,5,41.970081116103906,1,2023-01-07 01:00:00
What a waste of time!,0,21,5,4,31.64284916466094,1,2023-01-07 02:00:00
Its reception is very very poor.,0,32,6,4,40.05591724937703,0,2023-01-07 03:00:00
Items stated as included from the description ARE NOT INCLUDED.,0,63,10,2,54.085603457940344,0,2023-01-07 04:00:00
"After 3 months, screen just went black all of a sudden.",0,55,11,2,30.138960690138084,0,2023-01-07 05:00:00
I Was Hoping for More.,0,22,5,3,40.004975150734325,1,2023-01-07 06:00:00
"Audio Quality is poor, very poor.",0,33,6,2,41.9450608077283,1,2023-01-07 07:00:00
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,82,14,5,46.12186808813769,1,2023-01-07 08:00:00
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,121,21,5,57.59566849238281,0,2023-01-07 09:00:00
I've bought $5 wired headphones that sound better than these.,0,61,10,2,40.39037983097884,0,2023-01-07 10:00:00
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,132,23,5,40.40859605688683,1,2023-01-07 11:00:00
"Nice quality build, unlike some cheap s*** out there.",1,53,9,5,52.125037443292456,1,2023-01-07 12:00:00
This item is fantastic and works perfectly!,1,43,7,4,43.56653822669421,0,2023-01-07 13:00:00
And I just love the colors!,1,27,6,4,36.738144688199455,1,2023-01-07 14:00:00
W810i is just SUPERB.,1,21,4,5,43.5731854839808,1,2023-01-07 15:00:00
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,99,23,4,34.22571061139399,0,2023-01-07 16:00:00
Great charger.,1,14,2,5,35.2916095951867,1,2023-01-07 17:00:00
This is essentially a communications tool that does not communicate.,0,68,10,3,44.95103318218439,1,2023-01-07 18:00:00
Works like a charm; it work the same as the one I got with the phone.,1,69,16,5,42.56776348513644,1,2023-01-07 19:00:00
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,132,22,3,57.445377032043,0,2023-01-07 20:00:00
Great Value.,1,12,2,4,40.871816973498994,0,2023-01-07 21:00:00
Doesn't work at all.. I bougth it for my L7c and its not working.,0,65,14,3,47.4176505083413,1,2023-01-07 22:00:00
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,83,17,4,48.96792863758591,0,2023-01-07 23:00:00
doesn't last long.,0,18,3,2,30.39283369765001,0,2023-01-08 00:00:00
One thing I hate is the mode set button at the side.,0,52,12,3,49.906121160501314,0,2023-01-08 01:00:00
EXCELLENT SERVICE!!!!!!!!.,1,26,2,5,35.34107900609254,0,2023-01-08 02:00:00
Thank you for wasting my money.,0,31,6,3,58.832109524083656,1,2023-01-08 03:00:00
How can that be?The audio quality is poor.,0,42,8,4,34.45988183259339,1,2023-01-08 04:00:00
The iGo chargers and tips are really great.,1,43,8,5,42.43872371181071,0,2023-01-08 05:00:00
The file browser offers all the options that one needs.Handsfree is great.,1,74,12,5,32.56049004235932,0,2023-01-08 06:00:00
Superb Phone on a Great Network.,1,32,6,4,59.90622755537842,0,2023-01-08 07:00:00
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,135,25,5,45.065850309937275,1,2023-01-08 08:00:00
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,106,25,3,47.86155051960131,1,2023-01-08 09:00:00
It only recognizes the Phone as its storage device.,0,51,9,2,32.012294321652824,0,2023-01-08 10:00:00
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,90,17,2,52.498814111975335,1,2023-01-08 11:00:00
Don't buy this product.,0,23,4,2,36.29716779286757,1,2023-01-08 12:00:00
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,109,21,4,56.94162868322141,1,2023-01-08 13:00:00
The sound quality is good and functionality is awesome.,1,55,9,5,36.15418921446022,1,2023-01-08 14:00:00
"I have this phone and it is a thorn in my side, I really abhor it.",0,66,16,2,35.720631619909994,0,2023-01-08 15:00:00
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,108,18,2,31.096490035442848,1,2023-01-08 16:00:00
Incredible!.,1,12,1,4,44.16200835329998,0,2023-01-08 17:00:00
Design Flaw?.,0,13,2,4,46.94523399787849,1,2023-01-08 18:00:00
Great phone!.,1,13,2,5,31.97125918285057,1,2023-01-08 19:00:00
Waste of 13 bucks.,0,18,4,3,53.26582850085032,1,2023-01-08 20:00:00
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,125,24,4,43.59866504244083,1,2023-01-08 21:00:00
The replacement died in a few weeks.,0,36,7,2,45.7317080798274,0,2023-01-08 22:00:00
Any ring tone..Overall good phone to buy..,1,42,7,5,43.222882408146845,0,2023-01-08 23:00:00
Lately they have been extremely nice and helpful on the phone.,1,62,11,4,42.02289182625978,1,2023-01-09 00:00:00
I have had problems wit hit dropping signal and more.,0,53,10,2,46.78920993924653,1,2023-01-09 01:00:00
Not impressed.,0,14,2,4,34.657207377921374,0,2023-01-09 02:00:00
"Light weight, I hardly notice it is there.",1,42,8,5,35.45784391485813,0,2023-01-09 03:00:00
You'll love how thin it is.,1,27,6,5,55.85356863040552,0,2023-01-09 04:00:00
Bad Choice.,0,11,2,4,58.38346386400898,1,2023-01-09 05:00:00
The pleather case doesn't fit.,0,30,5,3,41.19927948839259,1,2023-01-09 06:00:00
"useless phone, simply deaf.",0,27,4,2,38.12234019430662,0,2023-01-09 07:00:00
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,93,17,4,49.31998629717047,0,2023-01-09 08:00:00
All in all I think it was a good investment.,1,44,10,5,42.262025132942895,1,2023-01-09 09:00:00
It makes very strange ticking noises before it ends the call.,0,61,11,2,30.761590669810346,1,2023-01-09 10:00:00
The best electronics of the available FM Transmitters.,1,54,8,5,34.68457792098571,0,2023-01-09 11:00:00
Battery lasts only a few hours.,0,31,6,3,51.47916686542193,0,2023-01-09 12:00:00
"great headset, very impressed - H500.",1,37,6,5,49.76771825730454,0,2023-01-09 13:00:00
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,74,14,5,30.812879775104506,0,2023-01-09 14:00:00
I've had this for nearly 2 years and it has worked great for me.,1,64,14,5,36.659164857988486,0,2023-01-09 15:00:00
Good transmit audio.,1,20,3,4,36.93224389764214,1,2023-01-09 16:00:00
We are sending it back.,0,23,5,2,50.15678230796185,1,2023-01-09 17:00:00
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,142,26,2,30.591316132630926,1,2023-01-09 18:00:00
"If you hate earbugs, avoid this phone by all means.",0,51,10,2,33.123257459537214,1,2023-01-09 19:00:00
Great price also!,1,17,3,5,53.99748256119568,0,2023-01-09 20:00:00
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,138,25,4,35.356339861630005,0,2023-01-09 21:00:00
fast service.,1,13,2,5,49.582383235556236,0,2023-01-09 22:00:00
I would highly recommend this.,1,30,5,5,37.14548343140179,0,2023-01-09 23:00:00
I would recommend this.,1,23,4,5,32.983241782780354,1,2023-01-10 00:00:00
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,73,15,4,37.29516572998362,1,2023-01-10 01:00:00
WORST PHONE EVER.,0,17,3,2,51.66800795566978,0,2023-01-10 02:00:00
I'm still infatuated with this phone.,1,37,6,4,55.67089404318857,0,2023-01-10 03:00:00
Freezes frequently4.,0,20,2,2,54.90659593700975,1,2023-01-10 04:00:00
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,116,20,4,41.915505888553646,0,2023-01-10 05:00:00
"Simple, lightweight and great fit.",1,34,5,5,50.042554097119385,0,2023-01-10 06:00:00
"All in all, I'd expected a better consumer experience from Motorola.",0,68,11,3,36.149528862474625,1,2023-01-10 07:00:00
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,101,18,2,38.7944319078304,1,2023-01-10 08:00:00
These are certainly very comfortable and functionality is decent.,1,65,9,5,56.89007455563359,0,2023-01-10 09:00:00
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,90,17,5,30.390057705322082,0,2023-01-10 10:00:00
I'm a bit disappointed.,0,23,4,4,32.56525592563404,1,2023-01-10 11:00:00
"I have had this phone for over a year now, and I will tell you, its not that great.",0,83,19,4,36.23658765438082,0,2023-01-10 12:00:00
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,100,20,4,30.79596611621459,0,2023-01-10 13:00:00
The battery is completely useless to me.,0,40,7,4,35.443063052693915,1,2023-01-10 14:00:00
What a big waste of time.,0,25,6,2,47.49124682909077,0,2023-01-10 15:00:00
Don't waste your $$$ on this one.,0,33,7,4,42.642736517774935,1,2023-01-10 16:00:00
Great sound and service.,1,24,4,5,56.780151332309245,0,2023-01-10 17:00:00
Really pleased with this product so far.,1,40,7,4,54.523306852153226,1,2023-01-10 18:00:00
One of my favorite purchases ever.,1,34,6,5,40.25452055093628,0,2023-01-10 19:00:00
best bluetooth on the market.,1,29,5,5,37.782703002938774,0,2023-01-10 20:00:00
Authentic leather with nice shine and comfort .I recommend you this case !!,1,75,13,5,41.390772245018006,0,2023-01-10 21:00:00
I was very excited to get this headset because I thought it was really cute.,1,76,15,5,47.70884827544423,0,2023-01-10 22:00:00
Do not make the same mistake as me.,0,35,8,4,38.041909224686286,1,2023-01-10 23:00:00
Big Disappointment with calendar sync.,0,38,5,2,48.72446723547402,1,2023-01-11 00:00:00
the phone was unusable and was not new.,0,39,8,2,42.28234956573721,0,2023-01-11 01:00:00
Worst Customer Service Ever.,0,28,4,4,46.5614154255594,0,2023-01-11 02:00:00
"No additional ear gels provided, and no instructions whatsoever.",0,64,9,3,43.083795874059504,1,2023-01-11 03:00:00
It defeats the purpose of a bluetooth headset.,0,46,8,2,38.83397278625753,1,2023-01-11 04:00:00
Worth every penny.,1,18,3,5,58.4535992088647,0,2023-01-11 05:00:00
Excellent wallet type phone case.,1,33,5,5,52.908173824792826,0,2023-01-11 06:00:00
Nice headphones for the price and they work great!,1,50,9,5,34.203395272993575,0,2023-01-11 07:00:00
Internet is excrutiatingly slow.,0,32,4,3,56.05403927693739,1,2023-01-11 08:00:00
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,103,19,5,44.62293594748541,0,2023-01-11 09:00:00
"It's fits like a glove and is strong, secure, and durable.",1,58,11,5,56.836566806822745,1,2023-01-11 10:00:00
O my gosh the best phone I have ever had.,1,41,10,5,53.995657678419455,0,2023-01-11 11:00:00
It's very attractive and appears to be of good quality.,1,55,10,5,42.756405134077,1,2023-01-11 12:00:00
I love all the features and form factor.,1,40,8,4,30.674079249603523,0,2023-01-11 13:00:00
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,109,19,2,38.060320781548384,0,2023-01-11 14:00:00
poor quality and service.,0,25,4,4,46.24902643982601,0,2023-01-11 15:00:00
"The cable looks so thin and flimsy, it is scary.",0,48,10,3,49.00434659478442,1,2023-01-11 16:00:00
Great Earpiece.,1,15,2,4,37.73663056299607,0,2023-01-11 17:00:00
Excellent hands free tool.,1,26,4,5,34.18068222218472,0,2023-01-11 18:00:00
Great for using with your home stereo.,1,38,7,4,55.04790710397897,0,2023-01-11 19:00:00
Good product - incredible value.,1,32,5,4,59.532065421106566,0,2023-01-11 20:00:00
Only had this a month but it's worked flawlessly so far.,1,56,11,5,45.770705469080575,1,2023-01-11 21:00:00
Works great.,1,12,2,5,35.1503785754491,1,2023-01-11 22:00:00
Absolutel junk.,0,15,2,4,38.16921979558107,1,2023-01-11 23:00:00
THAT one didn't work either.,0,28,5,3,30.551720296424,0,2023-01-12 00:00:00
Battery life is real good.,1,26,5,5,57.428964196814974,1,2023-01-12 01:00:00
Returned 8 hours later.,0,23,4,4,33.532532486704234,0,2023-01-12 02:00:00
It's a great item.,1,18,4,5,47.29549426542761,0,2023-01-12 03:00:00
Don't waste your money!.,0,24,4,3,38.22165662061618,0,2023-01-12 04:00:00
Love this headset!,1,18,3,4,46.6253400754738,0,2023-01-12 05:00:00
"Not only will it drain your player, but may also potentially fry it.",0,68,13,2,49.542611650555926,1,2023-01-12 06:00:00
Worked perfectly!,1,17,2,5,54.89225411121605,1,2023-01-12 07:00:00
Unreliable - I'm giving up.,0,27,5,2,36.1926381528181,1,2023-01-12 08:00:00
I gave it 5 stars because of the sound quality.,1,47,10,5,30.329874859754415,0,2023-01-12 09:00:00
Avoid this one if you can.,0,26,6,2,34.10656890206422,0,2023-01-12 10:00:00
Reversible plug works great.,1,28,4,4,57.00055925544315,0,2023-01-12 11:00:00
I wasted my little money with this earpiece.,0,44,8,4,56.216702326875456,0,2023-01-12 12:00:00
Very good phone.,1,16,3,5,47.92239306510925,0,2023-01-12 13:00:00
"Best of all is the rotating feature, very helpful.",1,50,9,4,48.0155058130096,0,2023-01-12 14:00:00
Comfort for our whole family.,1,29,5,4,49.95110023638766,0,2023-01-12 15:00:00
